"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class","yourmom","yourdad"
"155",2,7,94,40,1.684,"40-43",40,0
"156",2,7,128,46,1.937,">43",46,0
"157",2,7,101,43,1.811,"40-43",43,0
"158",2,7,44,31,1.305,"30-34",31,0
"159",2,7,119,45,1.895,">43",45,0
"160",2,7,117,45,1.895,">43",45,0
"161",2,7,80,40,1.684,"40-43",40,0
"162",2,7,78,39,1.642,"35-39",39,0
"163",2,7,54,31,1.305,"30-34",31,0
"164",2,7,99,45,1.895,">43",45,0
"165",2,10,137,44,1.853,">43",44,0
"166",2,10,120,42,1.768,"40-43",42,0
"167",2,10,107,42,1.768,"40-43",42,0
"168",2,10,98,43,1.811,"40-43",43,0
"169",2,10,97,45,1.895,">43",45,0
"170",2,10,55,43,1.811,"40-43",43,0
"171",2,10,96,40,1.684,"40-43",40,0
"172",2,10,118,43,1.811,"40-43",43,0
"173",2,10,73,39,1.642,"35-39",39,0
"174",2,10,102,43,1.811,"40-43",43,0
"175",2,10,103,44,1.853,">43",44,0
"176",2,10,97,45,1.895,">43",45,0
"177",2,10,96,43,1.811,"40-43",43,0
"178",2,10,81,42,1.768,"40-43",42,0
"179",2,10,114,42,1.768,"40-43",42,0
"180",2,10,143,47,1.979,">43",47,0
"181",2,10,52,30,1.263,"30-34",30,0
"182",2,10,83,43,1.811,"40-43",43,0
"183",2,10,76,37,1.558,"35-39",37,0
"184",2,10,141,45,1.895,">43",45,0
"185",2,10,99,40,1.684,"40-43",40,0
"186",2,10,154,48,2.021,">43",48,0
"187",2,10,109,42,1.768,"40-43",42,0
"988",1,0,163,46,1.937,">43",46,0
"989",1,0,102,39,1.642,"35-39",39,0
"990",1,0,144,48,2.021,">43",48,0
"991",1,0,115,43,1.811,"40-43",43,0
"992",1,0,108,43,1.811,"40-43",43,0
"993",1,0,68,34,1.432,"30-34",34,0
"994",1,0,107,42,1.768,"40-43",42,0
"995",1,0,141,42,1.768,"40-43",42,0
"996",1,0,111,42,1.768,"40-43",42,0
"997",1,0,55,32,1.347,"30-34",32,0
"998",1,0,112,42,1.768,"40-43",42,0
"999",1,0,100,39,1.642,"35-39",39,0
"1000",2,0,116,43,1.811,"40-43",43,0
"1001",2,0,71,35,1.474,"35-39",35,0
"1002",2,0,146,46,1.937,">43",46,0
"1003",2,0,119,45,1.895,">43",45,0
"1004",2,0,97,42,1.768,"40-43",42,0
"1005",2,0,43,30,1.263,"30-34",30,0
"1006",2,0,127,45,1.895,">43",45,0
"1007",2,0,106,43,1.811,"40-43",43,0
"1008",2,0,79,35,1.474,"35-39",35,0
"1009",2,0,127,45,1.895,">43",45,0
"1010",2,0,114,44,1.853,">43",44,0
"1011",2,0,85,40,1.684,"40-43",40,0
